,RegionName,RegionID,SizeRank,City,State,Metro,CountyName,time,value
1874397,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-11-01,81300.0
1889120,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-12-01,81700.0
1903843,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-01-01,82100.0
1918566,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-02-01,82400.0
1933289,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-03-01,82600.0
1948012,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-04-01,82900.0
1962735,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-05-01,83300.0
1977458,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-06-01,84000.0
1992181,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-07-01,84900.0
2006904,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-08-01,85700.0
2021627,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-09-01,86400.0
2036350,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-10-01,86900.0
2051073,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-11-01,87000.0
2065796,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2007-12-01,86600.0
2080519,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-01-01,85900.0
2095242,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-02-01,85000.0
2109965,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-03-01,83800.0
2124688,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-04-01,82600.0
2139411,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-05-01,81400.0
2154134,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-06-01,80300.0
2168857,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-07-01,79600.0
2183580,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-08-01,79100.0
2198303,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-09-01,78700.0
2213026,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-10-01,78400.0
2227749,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-11-01,78200.0
2242472,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2008-12-01,78000.0
2257195,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-01-01,77800.0
2271918,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-02-01,77600.0
2286641,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-03-01,77300.0
2301364,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-04-01,76900.0
2316087,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-05-01,76400.0
2330810,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-06-01,76100.0
2345533,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-07-01,75900.0
2360256,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-08-01,75500.0
2374979,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-09-01,75000.0
2389702,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-10-01,74400.0
2404425,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-11-01,74100.0
2419148,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2009-12-01,73900.0
2433871,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-01-01,74000.0
2448594,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-02-01,74000.0
2463317,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-03-01,74100.0
2478040,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-04-01,74600.0
2492763,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-05-01,75300.0
2507486,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-06-01,75300.0
2522209,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-07-01,75100.0
2536932,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-08-01,75300.0
2551655,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-09-01,75200.0
2566378,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-10-01,75100.0
2581101,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-11-01,75300.0
2595824,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2010-12-01,75500.0
2610547,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-01-01,75300.0
2625270,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-02-01,74900.0
2639993,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-03-01,74500.0
2654716,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-04-01,74000.0
2669439,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-05-01,73500.0
2684162,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-06-01,73100.0
2698885,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-07-01,72500.0
2713608,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-08-01,71900.0
2728331,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-09-01,72000.0
2743054,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-10-01,71400.0
2757777,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-11-01,69800.0
2772500,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2011-12-01,68300.0
2787223,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-01-01,67500.0
2801946,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-02-01,67400.0
2816669,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-03-01,67700.0
2831392,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-04-01,67900.0
2846115,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-05-01,68100.0
2860838,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-06-01,68500.0
2875561,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-07-01,68500.0
2890284,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-08-01,68400.0
2905007,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-09-01,68400.0
2919730,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-10-01,69100.0
2934453,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-11-01,70000.0
2949176,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2012-12-01,70600.0
2963899,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-01-01,70400.0
2978622,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-02-01,70500.0
2993345,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-03-01,70800.0
3008068,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-04-01,71000.0
3022791,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-05-01,70900.0
3037514,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-06-01,71200.0
3052237,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-07-01,71400.0
3066960,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-08-01,71400.0
3081683,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-09-01,71400.0
3096406,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-10-01,71500.0
3111129,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-11-01,72000.0
3125852,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2013-12-01,72900.0
3140575,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-01-01,74000.0
3155298,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-02-01,74700.0
3170021,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-03-01,75000.0
3184744,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-04-01,75400.0
3199467,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-05-01,75800.0
3214190,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-06-01,75700.0
3228913,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-07-01,75600.0
3243636,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-08-01,75900.0
3258359,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-09-01,76500.0
3273082,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-10-01,76800.0
3287805,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-11-01,77200.0
3302528,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2014-12-01,77700.0
3317251,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-01-01,78200.0
3331974,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-02-01,78700.0
3346697,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-03-01,78900.0
3361420,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-04-01,78900.0
3376143,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-05-01,79300.0
3390866,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-06-01,80300.0
3405589,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-07-01,81300.0
3420312,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-08-01,81700.0
3435035,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-09-01,81700.0
3449758,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-10-01,81800.0
3464481,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-11-01,81800.0
3479204,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2015-12-01,82100.0
3493927,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-01-01,83000.0
3508650,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-02-01,83400.0
3523373,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-03-01,83200.0
3538096,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-04-01,83700.0
3552819,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-05-01,85300.0
3567542,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-06-01,87200.0
3582265,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-07-01,89600.0
3596988,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-08-01,91300.0
3611711,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-09-01,92800.0
3626434,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-10-01,94400.0
3641157,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-11-01,96000.0
3655880,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2016-12-01,96900.0
3670603,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-01-01,98100.0
3685326,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-02-01,99800.0
3700049,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-03-01,102000.0
3714772,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-04-01,104700.0
3729495,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-05-01,106900.0
3744218,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-06-01,108500.0
3758941,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-07-01,111000.0
3773664,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-08-01,114000.0
3788387,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-09-01,116400.0
3803110,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-10-01,119000.0
3817833,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-11-01,122200.0
3832556,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2017-12-01,125700.0
3847279,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2018-01-01,127700.0
3862002,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2018-02-01,130200.0
3876725,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2018-03-01,134000.0
