,RegionName,RegionID,SizeRank,City,State,Metro,CountyName,time,value
4576,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-04-01,56000.0
19299,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-05-01,56000.0
34022,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-06-01,56000.0
48745,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-07-01,56100.0
63468,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-08-01,56200.0
78191,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-09-01,56300.0
92914,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-10-01,56500.0
107637,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-11-01,56600.0
122360,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1996-12-01,56700.0
137083,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-01-01,56800.0
151806,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-02-01,56800.0
166529,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-03-01,56800.0
181252,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-04-01,56700.0
195975,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-05-01,56700.0
210698,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-06-01,56600.0
225421,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-07-01,56600.0
240144,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-08-01,56600.0
254867,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-09-01,56600.0
269590,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-10-01,56700.0
284313,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-11-01,56800.0
299036,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1997-12-01,57000.0
313759,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-01-01,57200.0
328482,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-02-01,57300.0
343205,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-03-01,57500.0
357928,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-04-01,57600.0
372651,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-05-01,57800.0
387374,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-06-01,58000.0
402097,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-07-01,58300.0
416820,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-08-01,58500.0
431543,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-09-01,58700.0
446266,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-10-01,59000.0
460989,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-11-01,59200.0
475712,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1998-12-01,59400.0
490435,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-01-01,59600.0
505158,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-02-01,59800.0
519881,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-03-01,60000.0
534604,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-04-01,60000.0
549327,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-05-01,60100.0
564050,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-06-01,60200.0
578773,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-07-01,60300.0
593496,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-08-01,60300.0
608219,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-09-01,60300.0
622942,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-10-01,60300.0
637665,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-11-01,60400.0
652388,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,1999-12-01,60500.0
667111,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-01-01,60700.0
681834,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-02-01,60700.0
696557,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-03-01,60800.0
711280,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-04-01,60800.0
726003,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-05-01,60900.0
740726,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-06-01,61000.0
755449,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-07-01,61100.0
770172,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-08-01,61300.0
784895,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-09-01,61500.0
799618,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-10-01,61800.0
814341,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-11-01,62000.0
829064,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2000-12-01,62300.0
843787,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-01-01,62500.0
858510,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-02-01,62600.0
873233,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-03-01,62800.0
887956,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-04-01,62900.0
902679,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-05-01,63100.0
917402,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-06-01,63200.0
932125,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-07-01,63400.0
946848,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-08-01,63700.0
961571,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-09-01,64000.0
976294,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-10-01,64300.0
991017,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-11-01,64500.0
1005740,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2001-12-01,64800.0
1020463,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-01-01,65000.0
1035186,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-02-01,65200.0
1049909,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-03-01,65300.0
1064632,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-04-01,65400.0
1079355,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-05-01,65500.0
1094078,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-06-01,65500.0
1108801,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-07-01,65600.0
1123524,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-08-01,65700.0
1138247,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-09-01,65800.0
1152970,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-10-01,65800.0
1167693,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-11-01,65800.0
1182416,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2002-12-01,65700.0
1197139,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-01-01,65600.0
1211862,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-02-01,65800.0
1226585,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-03-01,66100.0
1241308,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-04-01,66600.0
1256031,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-05-01,67200.0
1270754,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-06-01,67900.0
1285477,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-07-01,68500.0
1300200,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-08-01,69000.0
1314923,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-09-01,69500.0
1329646,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-10-01,70100.0
1344369,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-11-01,70800.0
1359092,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2003-12-01,71600.0
1373815,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-01-01,72600.0
1388538,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-02-01,73600.0
1403261,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-03-01,74600.0
1417984,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-04-01,75500.0
1432707,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-05-01,76100.0
1447430,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-06-01,76400.0
1462153,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-07-01,76600.0
1476876,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-08-01,76600.0
1491599,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-09-01,76600.0
1506322,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-10-01,76500.0
1521045,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-11-01,76400.0
1535768,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2004-12-01,76400.0
1550491,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-01-01,76400.0
1565214,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-02-01,76500.0
1579937,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-03-01,76500.0
1594660,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-04-01,76400.0
1609383,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-05-01,76500.0
1624106,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-06-01,76800.0
1638829,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-07-01,77200.0
1653552,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-08-01,77700.0
1668275,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-09-01,78200.0
1682998,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-10-01,78600.0
1697721,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-11-01,78900.0
1712444,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2005-12-01,79100.0
1727167,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-01-01,79400.0
1741890,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-02-01,79800.0
1756613,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-03-01,80300.0
1771336,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-04-01,80800.0
1786059,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-05-01,81000.0
1800782,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-06-01,81200.0
1815505,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-07-01,81200.0
1830228,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-08-01,81100.0
1844951,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-09-01,80900.0
1859674,76114,91259,4577,Fort Worth,TX,Dallas-Fort Worth,Tarrant,2006-10-01,81000.0
