,RegionName,RegionID,SizeRank,City,State,Metro,CountyName,time,value
4019,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-04-01,47600.0
18742,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-05-01,47500.0
33465,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-06-01,47500.0
48188,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-07-01,47500.0
62911,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-08-01,47500.0
77634,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-09-01,47600.0
92357,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-10-01,47800.0
107080,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-11-01,47900.0
121803,34691,73177,4020,Holiday,FL,Tampa,Pasco,1996-12-01,48100.0
136526,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-01-01,48300.0
151249,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-02-01,48400.0
165972,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-03-01,48500.0
180695,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-04-01,48600.0
195418,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-05-01,48700.0
210141,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-06-01,48800.0
224864,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-07-01,48800.0
239587,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-08-01,48900.0
254310,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-09-01,49000.0
269033,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-10-01,49000.0
283756,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-11-01,49100.0
298479,34691,73177,4020,Holiday,FL,Tampa,Pasco,1997-12-01,49200.0
313202,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-01-01,49300.0
327925,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-02-01,49500.0
342648,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-03-01,49600.0
357371,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-04-01,49700.0
372094,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-05-01,49800.0
386817,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-06-01,49900.0
401540,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-07-01,49900.0
416263,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-08-01,50000.0
430986,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-09-01,50100.0
445709,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-10-01,50200.0
460432,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-11-01,50300.0
475155,34691,73177,4020,Holiday,FL,Tampa,Pasco,1998-12-01,50400.0
489878,34691,73177,4020,Holiday,FL,Tampa,Pasco,1999-01-01,50600.0
504601,34691,73177,4020,Holiday,FL,Tampa,Pasco,1999-02-01,50700.0
519324,34691,73177,4020,Holiday,FL,Tampa,Pasco,1999-03-01,50800.0
534047,34691,73177,4020,Holiday,FL,Tampa,Pasco,1999-04-01,51000.0
548770,34691,73177,4020,Holiday,FL,Tampa,Pasco,1999-05-01,51100.0
