,RegionName,RegionID,SizeRank,City,State,Metro,CountyName,time,value
9974,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-04-01,141700.0
24697,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-05-01,141200.0
39420,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-06-01,140700.0
54143,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-07-01,140200.0
68866,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-08-01,139700.0
83589,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-09-01,139200.0
98312,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-10-01,138800.0
113035,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-11-01,138400.0
127758,7513,60706,9975,Paterson,NJ,New York,Passaic,1996-12-01,138100.0
142481,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-01-01,138000.0
157204,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-02-01,137900.0
171927,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-03-01,137800.0
186650,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-04-01,137600.0
201373,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-05-01,137600.0
216096,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-06-01,137600.0
230819,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-07-01,137600.0
245542,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-08-01,137600.0
260265,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-09-01,137600.0
274988,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-10-01,137700.0
289711,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-11-01,137800.0
304434,7513,60706,9975,Paterson,NJ,New York,Passaic,1997-12-01,137900.0
319157,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-01-01,138200.0
333880,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-02-01,138500.0
348603,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-03-01,138800.0
363326,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-04-01,139100.0
378049,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-05-01,139400.0
392772,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-06-01,139800.0
407495,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-07-01,140200.0
422218,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-08-01,140500.0
436941,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-09-01,140800.0
451664,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-10-01,141200.0
466387,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-11-01,141600.0
481110,7513,60706,9975,Paterson,NJ,New York,Passaic,1998-12-01,142000.0
495833,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-01-01,142500.0
510556,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-02-01,143000.0
525279,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-03-01,143400.0
540002,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-04-01,143900.0
554725,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-05-01,144400.0
569448,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-06-01,144900.0
584171,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-07-01,145400.0
598894,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-08-01,145900.0
613617,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-09-01,146400.0
628340,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-10-01,147000.0
643063,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-11-01,147600.0
657786,7513,60706,9975,Paterson,NJ,New York,Passaic,1999-12-01,148300.0
672509,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-01-01,149100.0
687232,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-02-01,150000.0
701955,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-03-01,150900.0
716678,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-04-01,151800.0
731401,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-05-01,152700.0
746124,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-06-01,153700.0
760847,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-07-01,154800.0
775570,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-08-01,155900.0
790293,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-09-01,157000.0
805016,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-10-01,158200.0
819739,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-11-01,159300.0
834462,7513,60706,9975,Paterson,NJ,New York,Passaic,2000-12-01,160400.0
849185,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-01-01,161700.0
863908,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-02-01,163100.0
878631,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-03-01,164500.0
893354,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-04-01,165900.0
908077,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-05-01,167500.0
922800,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-06-01,169000.0
937523,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-07-01,170600.0
952246,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-08-01,172300.0
966969,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-09-01,174000.0
981692,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-10-01,175800.0
996415,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-11-01,177500.0
1011138,7513,60706,9975,Paterson,NJ,New York,Passaic,2001-12-01,179300.0
1025861,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-01-01,181300.0
1040584,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-02-01,183400.0
1055307,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-03-01,185400.0
1070030,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-04-01,187600.0
1084753,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-05-01,189700.0
1099476,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-06-01,192000.0
1114199,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-07-01,194300.0
1128922,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-08-01,196600.0
1143645,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-09-01,199000.0
1158368,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-10-01,201200.0
1173091,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-11-01,204100.0
1187814,7513,60706,9975,Paterson,NJ,New York,Passaic,2002-12-01,207300.0
1202537,7513,60706,9975,Paterson,NJ,New York,Passaic,2003-01-01,210000.0
1217260,7513,60706,9975,Paterson,NJ,New York,Passaic,2003-02-01,211900.0
1231983,7513,60706,9975,Paterson,NJ,New York,Passaic,2003-03-01,213700.0
1246706,7513,60706,9975,Paterson,NJ,New York,Passaic,2003-04-01,215000.0
1261429,7513,60706,9975,Paterson,NJ,New York,Passaic,2003-05-01,215700.0
1276152,7513,60706,9975,Paterson,NJ,New York,Passaic,2003-06-01,216400.0
1290875,7513,60706,9975,Paterson,NJ,New York,Passaic,2003-07-01,217500.0
1305598,7513,60706,9975,Paterson,NJ,New York,Passaic,2003-08-01,219400.0
